id,cor_x,cor_y
10023,128.488251,35.900443
10023,128.491573,35.900401
10023,128.491522,35.897699
10023,128.4882,35.89774
10023,128.488251,35.900443
10024,128.4882,35.89774
10024,128.491522,35.897699
10024,128.491471,35.894996
10024,128.488149,35.895037
10024,128.4882,35.89774
10025,128.488149,35.895037
10025,128.491471,35.894996
10025,128.491421,35.892293
10025,128.488099,35.892334
10025,128.488149,35.895037
10026,128.488099,35.892334
10026,128.491421,35.892293
10026,128.49137,35.88959
10026,128.488048,35.889631
10026,128.488099,35.892334
10027,128.488048,35.889631
10027,128.49137,35.88959
10027,128.491319,35.886887
10027,128.487998,35.886928
10027,128.488048,35.889631
10028,128.487998,35.886928
10028,128.491319,35.886887
10028,128.491268,35.884184
10028,128.487947,35.884226
10028,128.487998,35.886928
10029,128.487947,35.884226
10029,128.491268,35.884184
10029,128.491218,35.881482
10029,128.487897,35.881523
10029,128.487947,35.884226
10030,128.487897,35.881523
10030,128.491218,35.881482
10030,128.491167,35.878779
10030,128.487846,35.87882
10030,128.487897,35.881523
10031,128.487846,35.87882
10031,128.491167,35.878779
10031,128.491116,35.876076
10031,128.487795,35.876117
10031,128.487846,35.87882
10032,128.487795,35.876117
10032,128.491116,35.876076
10032,128.491066,35.873373
10032,128.487745,35.873414
10032,128.487795,35.876117
10033,128.487745,35.873414
10033,128.491066,35.873373
10033,128.491015,35.87067
10033,128.487694,35.870711
10033,128.487745,35.873414
10034,128.487694,35.870711
10034,128.491015,35.87067
10034,128.490965,35.867967
10034,128.487644,35.868009
10034,128.487694,35.870711
10035,128.487644,35.868009
10035,128.490965,35.867967
10035,128.490914,35.865265
10035,128.487593,35.865306
10035,128.487644,35.868009
10036,128.487593,35.865306
10036,128.490914,35.865265
10036,128.490863,35.862562
10036,128.487543,35.862603
10036,128.487593,35.865306
10037,128.487543,35.862603
10037,128.490863,35.862562
10037,128.490813,35.859859
10037,128.487492,35.8599
10037,128.487543,35.862603
10038,128.487492,35.8599
10038,128.490813,35.859859
10038,128.490762,35.857156
10038,128.487442,35.857197
10038,128.487492,35.8599
10039,128.487442,35.857197
10039,128.490762,35.857156
10039,128.490711,35.854453
10039,128.487391,35.854494
10039,128.487442,35.857197
10040,128.487391,35.854494
10040,128.490711,35.854453
10040,128.490661,35.85175
10040,128.487341,35.851791
10040,128.487391,35.854494
10041,128.487341,35.851791
10041,128.490661,35.85175
10041,128.49061,35.849047
10041,128.48729,35.849089
10041,128.487341,35.851791
10042,128.48729,35.849089
10042,128.49061,35.849047
10042,128.49056,35.846345
10042,128.48724,35.846386
10042,128.48729,35.849089
10043,128.48724,35.846386
10043,128.49056,35.846345
10043,128.490509,35.843642
10043,128.487189,35.843683
10043,128.48724,35.846386
10044,128.487189,35.843683
10044,128.490509,35.843642
10044,128.490458,35.840939
10044,128.487139,35.84098
10044,128.487189,35.843683
10045,128.487139,35.84098
10045,128.490458,35.840939
10045,128.490408,35.838236
10045,128.487088,35.838277
10045,128.487139,35.84098
10046,128.487088,35.838277
10046,128.490408,35.838236
10046,128.490357,35.835533
10046,128.487038,35.835574
10046,128.487088,35.838277
10047,128.487038,35.835574
10047,128.490357,35.835533
10047,128.490307,35.83283
10047,128.486988,35.832871
10047,128.487038,35.835574
10048,128.486988,35.832871
10048,128.490307,35.83283
10048,128.490256,35.830127
10048,128.486937,35.830169
10048,128.486988,35.832871
10049,128.486937,35.830169
10049,128.490256,35.830127
10049,128.490206,35.827425
10049,128.486887,35.827466
10049,128.486937,35.830169
10050,128.486887,35.827466
10050,128.490206,35.827425
10050,128.490155,35.824722
10050,128.486836,35.824763
10050,128.486887,35.827466
10051,128.486836,35.824763
10051,128.490155,35.824722
10051,128.490105,35.822019
10051,128.486786,35.82206
10051,128.486836,35.824763
10052,128.486786,35.82206
10052,128.490105,35.822019
10052,128.490054,35.819316
10052,128.486735,35.819357
10052,128.486786,35.82206
10053,128.486735,35.819357
10053,128.490054,35.819316
10053,128.490004,35.816613
10053,128.486685,35.816654
10053,128.486735,35.819357
10054,128.486685,35.816654
10054,128.490004,35.816613
10054,128.489953,35.81391
10054,128.486635,35.813951
10054,128.486685,35.816654
10055,128.486635,35.813951
10055,128.489953,35.81391
10055,128.489903,35.811207
10055,128.486584,35.811249
10055,128.486635,35.813951
10056,128.486584,35.811249
10056,128.489903,35.811207
10056,128.489852,35.808505
10056,128.486534,35.808546
10056,128.486584,35.811249
10057,128.486534,35.808546
10057,128.489852,35.808505
10057,128.489802,35.805802
10057,128.486484,35.805843
10057,128.486534,35.808546
10058,128.486484,35.805843
10058,128.489802,35.805802
10058,128.489751,35.803099
10058,128.486433,35.80314
10058,128.486484,35.805843
10059,128.486433,35.80314
10059,128.489751,35.803099
10059,128.489701,35.800396
10059,128.486383,35.800437
10059,128.486433,35.80314
10060,128.486383,35.800437
10060,128.489701,35.800396
10060,128.48965,35.797693
10060,128.486332,35.797734
10060,128.486383,35.800437
10061,128.486332,35.797734
10061,128.48965,35.797693
10061,128.4896,35.79499
10061,128.486282,35.795031
10061,128.486332,35.797734
10062,128.486282,35.795031
10062,128.4896,35.79499
10062,128.489549,35.792287
10062,128.486232,35.792328
10062,128.486282,35.795031
10063,128.486232,35.792328
10063,128.489549,35.792287
10063,128.489499,35.789584
10063,128.486181,35.789625
10063,128.486232,35.792328
10064,128.486181,35.789625
10064,128.489499,35.789584
10064,128.489448,35.786882
10064,128.486131,35.786923
10064,128.486181,35.789625
10065,128.486131,35.786923
10065,128.489448,35.786882
10065,128.489398,35.784179
10065,128.486081,35.78422
10065,128.486131,35.786923
10066,128.486081,35.78422
10066,128.489398,35.784179
10066,128.489347,35.781476
10066,128.48603,35.781517
10066,128.486081,35.78422
10067,128.48603,35.781517
10067,128.489347,35.781476
10067,128.489297,35.778773
10067,128.48598,35.778814
10067,128.48603,35.781517
10068,128.48598,35.778814
10068,128.489297,35.778773
10068,128.489247,35.77607
10068,128.48593,35.776111
10068,128.48598,35.778814
10069,128.48593,35.776111
10069,128.489247,35.77607
10069,128.489196,35.773367
10069,128.48588,35.773408
10069,128.48593,35.776111
10070,128.48588,35.773408
10070,128.489196,35.773367
10070,128.489146,35.770664
10070,128.485829,35.770705
10070,128.48588,35.773408
10071,128.485829,35.770705
10071,128.489146,35.770664
10071,128.489095,35.767961
10071,128.485779,35.768002
10071,128.485829,35.770705
10072,128.485779,35.768002
10072,128.489095,35.767961
10072,128.489045,35.765258
10072,128.485729,35.765299
10072,128.485779,35.768002
10073,128.485729,35.765299
10073,128.489045,35.765258
10073,128.488995,35.762556
10073,128.485678,35.762597
10073,128.485729,35.765299
10074,128.485678,35.762597
10074,128.488995,35.762556
10074,128.488944,35.759853
10074,128.485628,35.759894
10074,128.485678,35.762597
10075,128.485628,35.759894
10075,128.488944,35.759853
10075,128.488894,35.75715
10075,128.485578,35.757191
10075,128.485628,35.759894
10076,128.485578,35.757191
10076,128.488894,35.75715
10076,128.488844,35.754447
10076,128.485528,35.754488
10076,128.485578,35.757191
10077,128.485528,35.754488
10077,128.488844,35.754447
10077,128.488793,35.751744
10077,128.485477,35.751785
10077,128.485528,35.754488
10078,128.485477,35.751785
10078,128.488793,35.751744
10078,128.488743,35.749041
10078,128.485427,35.749082
10078,128.485477,35.751785
10079,128.485427,35.749082
10079,128.488743,35.749041
10079,128.488692,35.746338
10079,128.485377,35.746379
10079,128.485427,35.749082
10080,128.485377,35.746379
10080,128.488692,35.746338
10080,128.488642,35.743635
10080,128.485327,35.743676
10080,128.485377,35.746379
10081,128.485327,35.743676
