,loc_name,lon,lat,emd,sgg,field,used_area,agri_land,forest,grass,wet_land,barren,water
0,7공구생활폐기물집하시설,126.662504,37.383067,인천 연수구 송도동,연수구,인천,0.667147910377559,0.0,0.0,0.2112820202259223,0.0,0.1215700693965186,0.0
1,가정공원,126.674096,37.520941,인천 서구 가정동,서구,인천,0.5975759790227652,0.0,0.0,0.0958454198240055,0.0,0.3065786011532292,0.0
2,가좌완충녹지,126.684497,37.484762,인천 서구 가좌동,서구,인천,0.7760013587652199,7.087430665591832e-05,0.0,0.2063285287503474,0.0,0.0175992381777767,0.0
3,갑곶2리마을회관,126.510187,37.737728,인천 강화군 강화읍,강화군,강화,,,,,,,
4,강화군보건소,126.485095,37.736896,인천 강화군 강화읍,강화군,강화,,,,,,,
5,갯골쉼터,126.634716,37.456449,인천 강화군 화도면,강화군,강화,0.9218669799562196,0.0011595662406613,0.0,0.0548319031364869,0.0099773504750964,0.0067235543297991,0.0054406458617363
6,거잠포마을회관,126.423605,37.429422,인천 중구 덕교동,중구,인천,0.274593517733668,0.083822051767577,0.3585657524350468,0.2335002465169574,0.0140374224949125,0.035481009051838,0.0
7,건평보건진료소,126.406085,37.680731,인천 강화군 양도면,강화군,강화,,,,,,,
8,검단2동주민센터,126.689412,37.616873,인천 서구 불로동,서구,인천,0.3682606365422423,0.1584654695237992,0.2912851847357146,0.1621902251133941,0.0077652059848518,0.0108122837045875,0.0012209943954103
9,검단3동주민센터,126.701798,37.594999,인천 서구 원당동,서구,인천,0.5011476175701467,0.0369906180320656,0.1254408969599254,0.1698848576970281,0.0063541337035305,0.1535506071607123,0.0066312688765913
10,경명초등학교,126.637753,37.536449,인천 서구 청라동,서구,인천,0.5266446626874519,0.0,0.0,0.4118975397425822,0.0089131200607752,0.013175455204028,0.0393692223051626
11,경서동쑥공원,126.653442,37.556887,인천 서구 경서동,서구,인천,0.6940595602556553,0.1427789851963315,0.0262176931348829,0.0713837024603931,0.0,0.0655600589527369,0.0
12,경서동중동공원,126.677145,37.564829,인천 서구 경서동,서구,인천,0.7517031500911793,0.0356944598028884,0.0535066296973599,0.0991537945306909,0.0,0.0599419658778813,0.0
13,계산국민체육공원,126.728848,37.544956,인천 계양구 계산2동,계양구,인천,0.8934847443345552,0.0,0.0,0.0768734664635225,0.0,0.0296417892019223,0.0
14,계양구보건소,126.738086,37.537612,인천 계양구 계산동,계양구,인천,0.8603112946859438,0.0,0.0,0.1304788616919119,0.0,0.0092098436221444,0.0
15,계양초등학교,126.733681,37.579215,인천 계양구 장기동,계양구,인천,0.726202668942795,0.0739982024200235,0.0057650962910936,0.1445757277962564,0.0024857389098691,0.0449606364822705,0.0020119291576917
16,교동면보건지소,126.283107,37.784105,인천 강화군 교동면,강화군,강화,,,,,,,
17,길상면보건지소,126.49131,37.640566,인천 강화군 길상면,강화군,강화,0.4144655644165795,0.2957819778214189,0.050266317364129,0.1415914368214656,0.0193117066026332,0.0682162616513294,0.0103667353224441
18,난정보건진료소,126.23779,37.771217,인천 강화군 교동면,강화군,강화,,,,,,,
19,남동구보건소,126.730293,37.447724,인천 남동구 만수동,남동구,인천,0.6595211395694345,0.0378040041203119,0.1756829227084711,0.1029204825514894,0.0,0.0240714510502928,0.0
20,남동근린공원,126.696756,37.407802,인천 남동구 논현동,남동구,인천,0.7534203340074778,0.0,0.0,0.1966460504414434,0.0,0.0499336155510787,0.0
21,남촌어린이공원,126.715961,37.432729,인천 남동구 남촌동,남동구,인천,0.6343723399221454,0.1996453486213632,0.0,0.1346246084019993,0.0,0.0313577030544919,0.0
22,내가보건지소,126.389698,37.719431,인천 강화군 내가면,강화군,강화,,,,,,,
23,논현근린공원(갯마을공원에서 이전),126.7243031,37.4068792,인천 남동구 논현동,남동구,인천,0.5837634210390837,0.0218503416093909,0.1583179421909485,0.170970399948388,0.0,0.0650978952121889,0.0
24,늘솔길공원,126.720352,37.394547,인천 남동구 논현동,남동구,인천,0.3936866157304456,0.0,0.2783640180919793,0.2399337520898911,0.0,0.0198286587583622,0.0681869553293217
25,다남체육공원,126.720263,37.565906,인천 계양구 갈현동,계양구,인천,0.0771820922197784,0.3729079565377944,0.4309984245960357,0.0668425293054549,0.0192567813910236,0.0322396746296014,0.0005725413203112
26,달빛공원,126.650732,37.400933,인천 연수구 송도동,의성군,인천,0.4143037981130882,0.0,0.0,0.3093349395093225,0.0,0.1370221767489005,0.1393390856286886
27,당하지구1호공원(검단보건지소),126.6742,37.591842,인천 서구 당하동,서구,인천,0.8292151771594531,0.003642518614519,0.0,0.1374197425124118,0.0,0.0239137115435174,0.0058088501700986
28,대촌근린공원,126.6328743,37.59554321,인천 부평구 부개동,부평구,인천,0.3347436513852501,0.1052044002200625,0.1216636469863712,0.2774499342013684,0.0,0.1609383672069474,0.0
29,동구보건소,126.625803,37.483148,인천 동구 만석동,동구,인천,0.8154296680426731,0.0,0.0,0.1546227177688341,0.0,0.0299476141884926,0.0
30,동구빗물펌프장,126.641229,37.495365,인천 동구 송현동,동구,인천,0.1589003076653873,0.0,0.290182078456884,0.056134055857486,0.151445440243424,0.0412771554799257,0.302060962296893
31,동구어린이교통공원,126.669617,37.477711,인천 동구 송림동,동구,인천,0.8435330842771493,0.0,0.0,0.1564669157228506,0.0,0.0,0.0
32,동양근린공원,126.759416,37.561599,인천 계양구 동양동,계양구,인천,0.5997652046494818,0.1868737542008919,0.0198171381333209,0.1399324073844185,0.017807625229903,0.0244488307532693,0.0113550396487143
33,된밭공원,126.728417,37.532685,인천 계양구 작전동,계양구,인천,0.7848320068528079,0.0,0.0,0.1293337111352097,0.0,0.0858342820119824,0.0
34,마장공원,126.707796,37.500689,인천 부평구 산곡동,부평구,인천,0.6756563037073532,0.0120788478555649,0.086073611216673,0.1430842426328323,0.0,0.0831069945875763,0.0
35,마전지구2호어린이공원,126.665887,37.611129,인천 서구 마전동,서구,인천,0.4057536206480803,0.0739060773026112,0.3348066609649064,0.086405427283849,0.0087451954647541,0.0903830183357987,0.0
36,만수4동주민센터,126.735742,37.459469,인천 남동구 만수동,남동구,인천,0.700646260549369,0.0,0.0316614807243677,0.1942709886605881,0.0,0.0734212700656751,0.0
37,매음보건진료소,126.348463,37.663823,인천 강화군 삼산면,강화군,강화,,,,,,,
38,뫼골놀이공원,126.700781,37.514065,인천 부평구 산곡동,부평구,인천,0.8599003979924087,0.0167839049057047,0.014370145481025,0.032464790549729,0.0,0.0764807610711324,0.0
