loc_name,used_area,agri_land,forest,grass,wet_land,barren,water
7공구생활폐기물집하시설,0.667147910377559,0.0,0.0,0.21128202022592238,0.0,0.12157006939651861,0.0
가정공원,0.5975759790227652,0.0,0.0,0.09584541982400556,0.0,0.30657860115322927,0.0
가좌완충녹지,0.7760013587652199,7.087430665591832e-05,0.0,0.20632852875034743,0.0,0.01759923817777675,0.0
갯골쉼터,0.9218669799562197,0.0011595662406613527,0.0,0.054831903136486906,0.009977350475096467,0.006723554329799136,0.005440645861736391
거잠포마을회관,0.274593517733668,0.08382205176757707,0.3585657524350468,0.23350024651695742,0.014037422494912593,0.03548100905183808,0.0
검단2동주민센터,0.36826063654224234,0.15846546952379922,0.29128518473571463,0.16219022511339418,0.007765205984851826,0.010812283704587587,0.0012209943954103243
검단3동주민센터,0.5011476175701467,0.03699061803206567,0.12544089695992544,0.16988485769702816,0.006354133703530506,0.1535506071607123,0.00663126887659133
경명초등학교,0.5266446626874519,0.0,0.0,0.41189753974258225,0.008913120060775222,0.013175455204028092,0.039369222305162654
경서동쑥공원,0.6940595602556553,0.14277898519633156,0.02621769313488291,0.07138370246039313,0.0,0.06556005895273699,0.0
경서동중동공원,0.7517031500911793,0.03569445980288849,0.05350662969735994,0.09915379453069095,0.0,0.05994196587788136,0.0
계산국민체육공원,0.8934847443345552,0.0,0.0,0.07687346646352253,0.0,0.02964178920192235,0.0
계양구보건소,0.8603112946859438,0.0,0.0,0.13047886169191195,0.0,0.009209843622144458,0.0
계양초등학교,0.726202668942795,0.07399820242002353,0.005765096291093617,0.14457572779625644,0.002485738909869178,0.04496063648227056,0.0020119291576917576
길상면보건지소,0.41446556441657956,0.29578197782141896,0.05026631736412906,0.14159143682146566,0.019311706602633285,0.06821626165132946,0.0103667353224441
남동구보건소,0.6595211395694345,0.03780400412031191,0.17568292270847116,0.10292048255148947,0.0,0.024071451050292854,0.0
남동근린공원,0.7534203340074778,0.0,0.0,0.19664605044144343,0.0,0.049933615551078704,0.0
남촌어린이공원,0.6343723399221454,0.19964534862136327,0.0,0.13462460840199938,0.0,0.03135770305449198,0.0
논현근린공원(갯마을공원에서 이전),0.5837634210390837,0.021850341609390988,0.1583179421909485,0.17097039994838803,0.0,0.06509789521218891,0.0
늘솔길공원,0.3936866157304456,0.0,0.27836401809197936,0.2399337520898911,0.0,0.01982865875836221,0.06818695532932179
다남체육공원,0.07718209221977848,0.37290795653779446,0.4309984245960357,0.06684252930545498,0.0192567813910236,0.03223967462960146,0.0005725413203112618
달빛공원,0.4143037981130882,0.0,0.0,0.30933493950932256,0.0,0.13702217674890055,0.1393390856286886
당하지구1호공원(검단보건지소),0.8292151771594531,0.003642518614519069,0.0,0.13741974251241185,0.0,0.023913711543517405,0.005808850170098665
대촌근린공원,0.3347436513852501,0.10520440022006253,0.12166364698637126,0.27744993420136843,0.0,0.16093836720694746,0.0
동구보건소,0.8154296680426731,0.0,0.0,0.15462271776883416,0.0,0.029947614188492663,0.0
동구빗물펌프장,0.1589003076653873,0.0,0.29018207845688404,0.05613405585748603,0.15144544024342402,0.04127715547992576,0.302060962296893
동구어린이교통공원,0.8435330842771493,0.0,0.0,0.1564669157228506,0.0,0.0,0.0
동양근린공원,0.5997652046494818,0.1868737542008919,0.019817138133320908,0.13993240738441853,0.017807625229903094,0.024448830753269327,0.011355039648714396
된밭공원,0.7848320068528079,0.0,0.0,0.12933371113520972,0.0,0.08583428201198245,0.0
마장공원,0.6756563037073532,0.012078847855564968,0.08607361121667301,0.14308424263283234,0.0,0.08310699458757638,0.0
마전지구2호어린이공원,0.40575362064808035,0.0739060773026112,0.3348066609649064,0.08640542728384909,0.00874519546475413,0.09038301833579872,0.0
만수4동주민센터,0.700646260549369,0.0,0.031661480724367766,0.19427098866058815,0.0,0.07342127006567513,0.0
뫼골놀이공원,0.8599003979924087,0.016783904905704753,0.014370145481025042,0.032464790549729075,0.0,0.07648076107113246,0.0
무의분교(용유초),0.11082225771255258,0.25455091342398567,0.459885379686504,0.09406578742465421,0.008034855747405412,0.06731624953340627,0.00532455647149196
문화공원,0.7386098013520284,0.003128038302155642,0.0,0.19863462004780044,0.0,0.05962754029801548,0.0
미추홀공원(송도),0.5887451695996471,0.0,0.0,0.3964278201479864,0.0,0.010216595627190234,0.00461041462517626
미추홀구청소년수련관,0.9464478810384901,0.0016628249896501418,0.0,0.03397404189379208,0.0,0.017915252078067816,0.0
미추홀근린공원,0.7323328091870764,0.0015245999841800185,0.12115090355122007,0.13454017829173967,0.0,0.010451508985783871,0.0
방촌공원,0.7057686997378041,0.0,0.0,0.19136939592161958,0.0,0.10286190434057639,0.0
보건환경연구원,0.9269214623942481,0.004899791212872481,0.0,0.057981140121460516,0.0,0.01019760627141894,0.0
봉제어린이공원,0.6774673070135376,0.006052234660535694,0.03640449982413161,0.193266391113387,0.0,0.08680956738840787,0.0
부수지근린공원,0.8101437369609413,0.0,0.0,0.13737184462261884,0.0,0.052484418416439804,0.0
부평공원,0.7704041117562647,0.016021318745948726,0.0014827530293376589,0.1943316854633382,0.0,0.010640519998993911,0.007119611006117
부평구보건소,0.9295878865694454,0.0,0.0,0.010598340585608289,0.0,0.05981377284494637,0.0
북도보건지소,0.17793772807380698,0.22076915817399093,0.3803665778114016,0.13723662761469094,0.0,0.08368990832610954,0.0
상꾸지놀이공원,0.7716551315265636,0.0,0.0,0.15353853900142647,0.025253683486227838,0.02750730059766566,0.022045345388116474
